,state,agi_stub,returns,agi,inc,wages,interest,dividends,business,capital_gains,s_corp,rent,year,total,top_01,top_05,top_10,top_50,agi_01,agi_05,agi_10,agi_50,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_50,total_sal_amt,sum_sal_01,sum_sal_05,sum_sal_10,sum_sal_50,total_int_amt,sum_int_01,sum_int_05,sum_int_10,sum_int_50,total_div_amt,sum_div_01,sum_div_05,sum_div_10,sum_div_50,total_businc_amt,sum_businc_01,sum_businc_05,sum_businc_10,sum_businc_50,total_cpgain_amt,sum_cpgain_01,sum_cpgain_05,sum_cpgain_10,sum_cpgain_50,total_scorp_amt,sum_scorp_01,sum_scorp_05,sum_scorp_10,sum_scorp_50,agi_stub_cat
82,CT,5,241970,14919545,15153845,11378888,118260,227242,471337,66293,120039,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
83,CT,6,163710,14197242,14400630,10676878,107017,237507,449760,93602,151693,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
84,CT,7,253620,34524098,35071047,26584716,253096,650705,1320882,414943,654111,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
85,CT,8,80700,23416043,23975266,16799254,218405,724773,1422601,860551,1668139,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
86,CT,9,16450,11205692,11468053,7188445,160776,474856,577160,820934,1565178,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
87,CT,10,10900,43168380,43554630,16316256,1206822,2727532,752084,10685409,8528445,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
88,DE,0,434150,25866607,26176177,18394247,239222,629001,631101,862971,1045107,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
89,DE,1,4630,-418570,-412833,36211,7525,8906,-13673,23645,-187088,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
90,DE,2,62280,330999,339910,260564,5608,7546,24392,-2148,-1129,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
91,DE,3,95400,1644321,1665371,1215843,15206,21310,80223,1064,3335,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
92,DE,4,104580,3784184,3823310,2954829,25235,37323,86287,5983,21692,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
93,DE,5,61050,3759020,3795509,2772818,26780,45503,63773,11931,29306,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
94,DE,6,40100,3473117,3502918,2523129,25745,48290,53754,18904,32475,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
95,DE,7,52330,6998752,7067786,5236360,49698,118653,141176,79739,138400,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
96,DE,8,11380,3170584,3222565,2142363,30765,104970,121180,139003,265485,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
97,DE,9,1590,1063881,1085978,560860,16646,56889,42920,97539,220096,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
98,DE,10,810,2060319,2085663,691270,36014,179613,31069,487312,522536,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
99,DC,0,327730,28292757,28803215,18776731,263984,917390,1166451,2918631,2325206,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
100,DC,1,4230,-452459,-446486,42294,19424,17341,-21103,39661,-119770,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
101,DC,2,37260,206740,219598,155799,2225,5438,40228,-20,-936,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
102,DC,3,63730,1091786,1115121,827871,4011,16151,104804,2302,-155,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
103,DC,4,80270,2959842,3004459,2533940,8027,22909,62990,6133,6617,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
104,DC,5,50160,3072732,3112393,2615095,11564,33552,63161,13836,6495,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000 under $75,000"
105,DC,6,29470,2547819,2570084,2135160,11759,34766,57727,18251,11285,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
106,DC,7,40980,5639501,5706436,4561650,31789,116190,204688,74428,61202,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
107,DC,8,16890,4865049,4971810,3483070,34940,160211,297471,192242,322639,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
108,DC,9,2950,2011839,2091641,970966,22613,99365,124470,191530,531202,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
109,DC,10,1790,6349909,6458159,1450885,117632,411466,232015,2380269,1506626,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
